,Title,published_date,Views,Likes,Comments,Month
0,So You Think You Can ANALYZE? (Data Content Creator Hackathon),2024-09-21 15:46:36+00:00,42589,1509,96,Sep
1,Moving On,2024-04-22 10:00:19+00:00,12344,505,91,Apr
2,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30 12:00:22+00:00,4584,95,25,Nov
3,A Data Dream Come True,2023-11-17 12:00:28+00:00,2635,99,23,Nov
4,The Death of the Full-Time Job,2023-09-22 11:46:35+00:00,6738,427,78,Sep
5,How to Survive a Down Data Job Market,2023-09-05 10:50:39+00:00,18107,608,64,Sep
6,The Harsh Reality of the Data Job Market,2023-08-24 11:30:19+00:00,109705,2619,287,Aug
7,7 Industries AI will Aggressively Disrupt,2023-08-14 11:30:19+00:00,6992,263,42,Aug
8,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07 17:57:05+00:00,4730,137,48,Aug
9,7 Enticing Jobs AI Will Create,2023-07-24 12:00:01+00:00,4990,203,37,Jul
10,The ChatGPT Code Interpreter is OVERRATED,2023-07-22 09:42:29+00:00,4331,147,31,Jul
11,Exciting Announcement!,2023-06-23 17:28:36+00:00,6765,295,50,Jun
12,AI: A Customer Service Revolution?,2023-05-26 12:00:21+00:00,4194,126,35,May
13,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16 12:00:25+00:00,78033,2335,52,May
14,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04 12:04:56+00:00,37378,1515,76,May
15,This AI question will determine our future,2023-04-06 13:00:32+00:00,4401,258,38,Apr
16,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03 13:00:27+00:00,71737,830,78,Apr
17,Your current portfolio is actually hurting you #shorts,2023-03-30 13:00:37+00:00,9783,546,5,Mar
18,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27 13:00:41+00:00,8329,441,3,Mar
19,you're job searching wrong. #shorts,2023-03-23 13:00:35+00:00,4716,270,3,Mar
20,The Economics of Data Roles #shorts,2023-03-21 13:00:15+00:00,11243,653,13,Mar
21,Why your phone knows everything you say #shorts,2023-03-18 13:00:42+00:00,4106,186,8,Mar
22,Read these for a successful career. #shorts,2023-03-16 01:19:35+00:00,3370,253,2,Mar
23,Is Your Phone Actually Listening to You? #shorts,2023-03-09 13:00:01+00:00,3346,57,5,Mar
24,How I Realized I Was a Bad Manager #shorts,2023-03-07 13:00:11+00:00,3348,144,1,Mar
25,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03 13:00:07+00:00,21284,777,50,Mar
26,Why I Quit Data Science... and then crawled back #shorts,2023-03-01 13:00:17+00:00,9280,290,12,Mar
27,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27 13:00:32+00:00,2964,178,2,Feb
28,Learning On the companies dime #shorts,2023-02-24 17:00:13+00:00,3384,180,1,Feb
29,The Best Way to Transition to Data Science? #shorts,2023-02-21 17:13:47+00:00,5074,300,6,Feb
30,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17 13:00:03+00:00,7515,411,6,Feb
31,Don't Go into Data for the Money #shorts,2023-02-15 10:00:37+00:00,3917,219,12,Feb
32,First Data Science Project? Watch This.,2023-02-13 13:00:36+00:00,8842,398,25,Feb
33,How to Approach Applying for a Data Role #shorts,2023-02-08 13:00:39+00:00,3773,245,7,Feb
34,The Hard Reality of Data Science Work #shorts,2023-02-06 19:35:25+00:00,18280,933,16,Feb
35,How Much Money Does a Data Scientist Make? #shorts,2023-02-03 12:00:03+00:00,5398,204,6,Feb
36,These 3 Things Make Data Science Special #shorts,2023-02-01 12:00:12+00:00,4577,356,7,Feb
37,Will Data Science Be Automated? #shorts,2023-01-27 11:00:44+00:00,10748,440,10,Jan
38,Is Data Science A Good Fit For You? #shorts,2023-01-25 11:00:05+00:00,5559,304,10,Jan
39,5 Books I Wish I Read Earlier In My Career,2023-01-23 15:31:48+00:00,9964,527,49,Jan
40,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19 07:00:06+00:00,13491,988,18,Jan
41,What Data Science Tool Would I Learn First? #shorts,2023-01-17 07:00:12+00:00,6612,479,10,Jan
42,How long does it take to become a Data Scientist? #shorts,2023-01-12 11:45:02+00:00,9804,590,8,Jan
43,Where & how to start your Data Science Journey #shorts,2023-01-09 00:35:13+00:00,7417,433,3,Jan
44,How I Would NOT Learn Data Science in 2023.,2023-01-03 13:00:34+00:00,129667,4171,257,Jan
45,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14 13:00:23+00:00,5118,208,27,Dec
46,The Essential Programming Concepts For Learning Data Science,2022-11-14 13:00:02+00:00,21437,865,46,Nov
47,The Data Content House: What You Missed,2022-10-07 13:00:04+00:00,10703,345,48,Oct
48,Is Data Science A Good Career?,2022-09-29 20:40:31+00:00,65065,1986,141,Sep
49,IRON ANALYST (Teaser) #shorts,2022-09-27 17:21:13+00:00,5721,364,22,Sep
50,When a New Data Scientist Joins The Team,2022-08-29 13:00:01+00:00,16913,754,134,Aug
51,State of Data Science - Web Data,2022-08-05 20:20:04+00:00,10532,350,34,Aug
52,Data Science Town Hall - State of Data Science,2022-08-04 18:34:49+00:00,10063,366,37,Aug
53,The Programming Roadmap For Data Science,2022-07-29 14:31:33+00:00,29149,1338,60,Jul
54,5 Impactful Data Science Projects For Your Portfolio,2022-06-27 13:00:10+00:00,109773,3802,96,Jun
55,Can AI Fix my Baseball Swing?,2022-06-10 13:00:00+00:00,8505,349,68,Jun
56,Every Data Scientist... (funny!),2022-05-24 13:00:07+00:00,18417,857,146,May
57,State of Data Science (Town Hall) ft - Data Squad,2022-05-07 22:43:20+00:00,16063,422,66,May
58,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04 13:00:16+00:00,84656,1971,88,Apr
59,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25 13:00:38+00:00,22624,913,111,Mar
60,Data Scientists VS NFT Scam,2022-03-03 13:00:36+00:00,5354,188,41,Mar
61,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21 13:00:03+00:00,11599,518,144,Feb
62,What Professional Data Scientists ACTUALLY Do,2022-02-14 13:00:31+00:00,103173,3527,186,Feb
63,Can You Analyze My Data Better Than I Can?,2022-01-31 13:00:11+00:00,7764,325,60,Jan
64,Giving Back to My Most Engaged Subscribers!,2022-01-28 13:00:01+00:00,2346,117,87,Jan
65,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24 13:00:09+00:00,79878,1687,163,Jan
66,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17 13:00:00+00:00,9186,426,82,Jan
